pH,TDS,turbidity,nitrate,arsenic,lead,fluoride,hardness,temperature,EC,coliform,safe_water
7.33,334.44,0.97,1.99,0.0057,0.006,1.02,156.24,15.1,1018.68,0.0,1
8.11,197.69,1.84,1.01,0.0044,0.0087,0.28,183.43,29.97,998.29,0.0,1
7.04,193.18,1.18,1.78,0.0058,0.0008,1.17,189.29,27.45,1082.0,0.0,1
6.89,1799.9,0.47,25.46,0.04,0.03,2.21,417.64,15.8,2789.62,8.76,0
7.83,214.68,8.46,15.54,0.01,0.02,2.63,465.07,29.33,906.02,9.65,0
7.09,1253.58,8.59,66.17,0.05,0.05,1.33,390.28,20.11,304.96,30.37,0
8.78,1328.02,6.72,99.81,0.01,0.01,1.57,56.41,36.51,141.91,14.46,0
5.56,322.13,11.01,12.9,0.01,0.01,2.19,475.59,19.37,2521.65,19.3,0
7.4,201.12,1.7,38.28,0.0025,0.0046,1.21,150.0,28.64,758.84,0.0,1
8.12,274.87,1.2,5.68,0.0088,0.0077,1.25,238.35,24.34,1089.91,0.0,1
5.36,696.95,12.38,90.66,0.02,0.04,1.07,448.3,24.95,1387.81,31.62,0
7.84,185.68,1.8,31.1,0.0049,0.0088,1.22,106.38,25.31,911.12,0.0,1
6.92,109.93,2.35,19.69,0.003,0.0047,1.13,229.61,15.77,1385.94,0.0,1
7.81,269.95,8.24,10.12,0.04,0.03,1.27,392.45,12.33,1249.89,16.8,0
6.33,967.12,7.57,40.1,0.0,0.01,0.64,572.17,29.48,2944.15,35.46,0
7.12,199.53,1.13,38.65,0.0029,0.0086,0.2,125.43,27.93,290.96,0.0,1
7.88,307.94,2.21,21.02,0.0085,0.0079,1.29,206.68,29.03,568.01,0.0,1
8.21,337.13,9.74,32.47,0.04,0.04,0.06,265.91,22.49,2948.23,3.43,0
7.88,273.81,3.63,18.09,0.007,0.0001,0.79,225.53,20.47,900.71,0.0,1
5.1,1683.9,8.3,25.61,0.01,0.01,0.17,301.1,16.24,266.86,27.58,0
7.76,1508.4,5.77,82.99,0.02,0.01,1.18,505.47,21.54,2467.93,5.32,0
7.29,247.6,0.11,27.16,0.0011,0.0062,1.3,140.12,16.83,756.39,0.0,1
5.15,311.96,8.24,75.21,0.05,0.04,2.08,229.12,30.04,1702.43,31.17,0
5.68,1348.3,0.41,98.71,0.04,0.01,0.42,176.95,20.49,810.53,18.11,0
7.44,389.52,2.15,4.92,0.0014,0.0011,0.84,114.04,19.38,1188.31,0.0,1
7.8,668.91,0.7,24.42,0.01,0.02,2.64,296.69,37.06,1526.66,29.76,0
8.16,257.24,1.56,11.73,0.0058,0.0052,0.38,222.06,26.02,744.07,0.0,1
5.17,129.88,4.78,66.68,0.02,0.03,1.99,478.73,23.27,1299.69,25.98,0
8.09,199.34,2.65,34.51,0.0016,0.005,1.27,141.65,25.64,370.64,0.0,1
8.83,1269.36,0.68,42.12,0.02,0.01,1.98,130.44,22.08,359.36,18.64,0
7.76,271.82,1.82,35.73,0.0038,0.0042,0.06,193.35,16.97,1325.99,0.0,1
7.68,203.47,1.87,3.91,0.0083,0.0072,0.41,132.84,29.14,205.1,0.0,1
7.53,275.63,0.75,34.89,0.0021,0.0062,0.48,218.46,20.07,1228.36,0.0,1
6.96,312.29,3.85,36.35,0.0015,0.0085,0.31,188.71,25.64,1060.43,0.0,1
6.49,1542.59,13.54,1.63,0.01,0.04,2.0,371.39,42.18,2241.24,18.17,0
7.92,116.75,0.64,23.73,0.0067,0.0046,0.76,189.62,24.33,1383.13,0.0,1
8.02,312.97,2.62,42.23,0.05,0.05,1.19,70.02,30.21,401.66,31.34,0
7.49,125.9,1.3,6.74,0.0019,0.0026,0.78,213.81,27.76,487.03,0.0,1
9.39,1186.73,8.17,93.59,0.04,0.0,1.02,177.73,11.02,1879.31,8.17,0
7.86,271.99,2.73,26.48,0.0052,0.0084,0.8,212.08,15.32,548.79,0.0,1
7.95,455.64,10.57,26.06,0.02,0.0,0.64,557.2,34.0,393.52,23.46,0
8.55,1909.04,7.69,50.3,0.02,0.02,0.12,161.71,42.47,1169.63,42.28,0
7.9,356.3,3.37,2.08,0.0039,0.0035,0.58,213.14,24.45,292.27,0.0,1
5.01,1419.48,14.4,27.62,0.03,0.04,1.52,174.16,39.26,980.08,21.29,0
8.94,868.68,7.55,60.82,0.05,0.04,0.4,256.75,42.83,2732.95,1.35,0
6.82,152.75,3.14,8.02,0.0026,0.0021,0.59,122.97,17.82,693.3,0.0,1
6.13,1073.96,3.02,12.72,0.02,0.02,0.02,551.27,19.21,241.9,15.66,0
7.72,483.14,8.53,99.24,0.01,0.02,2.52,76.8,10.71,2619.41,36.94,0
7.91,487.95,12.55,14.38,0.02,0.02,2.9,284.37,30.43,2457.86,16.47,0
7.67,194.52,0.99,4.87,0.0039,0.0079,0.86,185.04,28.47,404.51,0.0,1
8.04,280.07,2.78,13.87,0.0042,0.0007,0.14,224.13,15.21,1216.78,0.0,1
7.32,135.46,3.96,36.7,0.0046,0.0046,0.64,100.49,16.72,647.45,0.0,1
8.82,1934.23,7.68,12.74,0.02,0.02,2.0,398.62,32.17,737.01,16.6,0
6.16,430.82,9.57,84.32,0.03,0.04,0.96,598.96,22.73,398.81,2.36,0
7.54,232.14,2.61,34.55,0.0017,0.0086,0.9,247.35,25.17,1265.44,0.0,1
5.15,1207.25,3.49,18.57,0.01,0.03,0.63,374.01,15.52,1989.52,49.69,0
8.18,244.67,3.07,7.57,0.0061,0.0006,0.99,147.1,25.94,337.79,0.0,1
6.16,1957.97,2.58,56.82,0.04,0.04,1.17,468.12,34.54,1998.33,31.69,0
8.1,204.05,2.34,21.07,0.0027,0.0073,0.21,134.37,29.12,220.28,0.0,1
7.57,229.86,3.06,8.78,0.0034,0.0011,0.58,203.09,24.69,448.85,0.0,1
9.23,73.97,0.62,36.18,0.0,0.01,2.44,462.35,27.73,1130.98,30.34,0
6.24,559.45,10.66,45.12,0.0,0.01,1.29,576.22,19.79,2476.49,17.83,0
7.42,162.93,2.43,26.05,0.0048,0.0008,0.3,129.1,23.7,1303.08,0.0,1
7.09,197.88,3.66,32.88,0.0055,0.0089,0.04,204.37,25.62,1040.44,0.0,1
6.27,248.96,14.06,5.75,0.03,0.02,2.5,131.2,25.81,2393.78,41.22,0
5.86,876.46,1.09,28.7,0.02,0.01,1.31,126.98,41.19,933.83,12.76,0
7.53,167.6,2.96,18.63,0.002,0.0057,0.34,112.63,28.93,554.89,0.0,1
7.54,215.83,0.41,31.6,0.0041,0.0039,0.95,174.69,15.88,460.26,0.0,1
6.72,122.88,12.3,32.04,0.04,0.0,1.43,404.47,37.5,2404.14,46.11,0
7.72,148.5,0.64,38.89,0.0044,0.0037,1.27,159.33,19.5,329.83,0.0,1
7.31,320.7,0.42,28.18,0.0065,0.0015,0.98,162.21,29.58,549.95,0.0,1
7.06,326.91,10.75,21.2,0.04,0.04,2.17,81.99,35.68,1890.56,16.33,0
9.21,129.97,12.71,51.46,0.03,0.02,2.64,366.65,20.7,2063.55,35.29,0
6.39,1488.6,2.36,58.4,0.01,0.02,1.16,528.52,25.02,1228.4,47.96,0
8.35,739.4,13.15,49.6,0.05,0.03,1.52,532.94,18.85,1609.09,12.49,0
7.88,237.12,0.36,15.05,0.0079,0.0007,0.99,117.25,23.62,761.25,0.0,1
7.19,349.21,2.57,26.08,0.0068,0.0057,1.32,115.18,19.64,508.22,0.0,1
6.93,1309.98,0.96,69.73,0.04,0.03,0.54,459.6,14.48,1415.46,38.6,0
8.48,1698.31,6.39,71.69,0.0,0.05,2.53,586.92,16.63,742.14,7.55,0
6.2,467.17,11.34,27.36,0.0,0.02,2.13,168.89,32.98,1105.19,6.78,0
7.74,149.86,0.22,4.24,0.0086,0.0054,1.15,172.19,27.57,1160.47,0.0,1
9.3,1717.67,0.26,69.79,0.02,0.01,1.17,73.92,20.92,163.72,34.49,0
6.98,1261.44,0.36,2.08,0.05,0.04,2.09,569.27,39.6,2940.05,3.15,0
7.29,381.76,1.11,25.67,0.0087,0.0031,1.34,173.34,25.31,966.15,0.0,1
7.01,1491.01,12.92,40.77,0.03,0.03,0.48,435.74,32.53,1453.15,41.78,0
7.68,375.85,3.28,17.08,0.0016,0.0067,0.07,112.82,20.48,877.32,0.0,1
7.15,135.08,1.67,19.61,0.0051,0.0024,0.65,135.72,21.16,965.19,0.0,1
5.75,1680.91,14.11,71.47,0.03,0.01,1.88,217.48,21.03,604.81,42.0,0
7.51,351.06,0.0,30.81,0.009,0.0086,1.4,135.7,29.18,1103.87,0.0,1
7.86,192.7,0.03,12.84,0.0054,0.0037,1.22,179.44,15.61,837.29,0.0,1
7.14,1909.94,9.31,22.78,0.04,0.0,1.38,119.36,26.74,2416.2,30.29,0
6.15,1127.18,0.48,67.08,0.0,0.05,1.91,199.83,15.45,130.17,18.74,0
7.86,1971.18,1.28,6.65,0.0,0.04,2.4,385.7,17.18,2276.73,24.57,0
7.29,112.18,2.61,31.11,0.0088,0.0057,0.36,209.59,24.82,1276.15,0.0,1
6.94,349.28,0.85,32.36,0.0034,0.0021,1.07,220.88,16.67,325.43,0.0,1
5.55,742.88,7.71,40.65,0.02,0.03,0.53,237.59,11.82,1148.58,46.18,0
6.55,942.56,14.83,75.62,0.01,0.01,0.06,192.54,25.21,1264.38,0.05,0
7.14,331.08,3.19,39.57,0.0028,0.0013,0.51,211.21,21.38,799.47,0.0,1
7.97,145.73,2.28,8.41,0.0021,0.0022,0.9,168.56,20.15,470.03,0.0,1
6.65,1456.9,4.81,26.56,0.04,0.0,0.13,458.12,41.03,2721.19,49.86,0
7.76,176.13,3.67,19.36,0.007,0.0061,0.83,228.52,18.6,584.87,0.0,1
7.59,257.33,0.03,33.24,0.0003,0.0061,1.21,231.68,17.04,1105.6,0.0,1
8.69,1154.99,2.92,45.7,0.01,0.02,0.28,596.03,22.98,788.93,49.92,0
7.67,369.77,0.46,4.67,0.003,0.0072,1.35,241.44,15.29,1237.84,0.0,1
8.23,1999.22,8.13,27.22,0.04,0.03,2.09,100.64,24.09,425.89,4.85,0
6.82,184.85,3.18,10.81,0.006,0.0014,0.08,239.24,18.11,314.79,0.0,1
6.52,1976.46,0.32,26.79,0.02,0.04,0.99,282.02,33.53,2627.39,36.88,0
7.48,199.43,2.07,11.74,0.0063,0.0016,1.17,174.18,24.08,1176.61,0.0,1
9.19,1248.38,0.92,7.1,0.03,0.02,2.19,73.33,13.53,2280.01,29.41,0
9.07,1864.88,3.74,63.64,0.03,0.02,2.07,186.53,30.64,1144.24,32.27,0
8.31,578.61,9.89,42.96,0.02,0.01,1.87,460.69,30.29,107.68,25.42,0
7.34,967.63,4.08,35.5,0.05,0.02,0.82,571.89,24.58,2113.87,12.96,0
6.97,380.14,3.67,36.62,0.0036,0.0018,0.05,121.46,25.83,880.13,0.0,1
8.15,173.32,1.19,2.5,0.0008,0.0013,0.5,122.17,20.76,418.0,0.0,1
7.03,213.13,2.81,4.03,0.0026,0.0035,0.33,175.68,26.75,1018.99,0.0,1
7.58,137.12,3.0,34.25,0.0057,0.0031,0.73,115.69,18.69,232.11,0.0,1
7.52,503.05,7.69,40.45,0.04,0.0,2.39,432.1,44.92,1604.8,14.03,0
7.7,126.57,1.18,37.75,0.0035,0.0054,0.32,118.69,15.25,801.39,0.0,1
7.52,140.07,1.14,37.1,0.0055,0.0058,0.06,206.6,19.09,277.13,0.0,1
9.39,1972.64,14.52,97.77,0.04,0.0,2.63,515.96,15.38,259.34,25.54,0
7.08,1602.33,4.69,14.12,0.01,0.02,2.41,327.51,11.6,493.65,12.72,0
8.12,224.94,0.33,32.1,0.0052,0.0071,0.97,220.44,25.76,1186.01,0.0,1
7.6,343.03,3.41,7.11,0.0049,0.0,0.88,117.96,20.8,1052.83,0.0,1
6.84,202.68,0.81,31.77,0.0069,0.0076,0.03,136.34,19.69,827.6,0.0,1
7.29,265.28,2.9,3.74,0.0018,0.0021,1.16,185.16,25.33,1014.55,0.0,1
6.13,945.96,2.73,21.87,0.02,0.01,1.83,241.05,38.85,2494.98,4.48,0
7.48,1929.96,9.87,59.21,0.01,0.05,2.48,255.88,27.29,905.41,29.78,0
7.71,286.76,0.33,10.65,0.0084,0.0074,0.3,162.42,25.46,1037.43,0.0,1
8.13,110.73,0.23,9.73,0.0086,0.0007,0.61,107.51,21.41,505.18,0.0,1
7.33,639.94,10.16,35.54,0.01,0.05,2.5,583.55,32.88,224.43,16.81,0
6.84,436.66,2.22,55.06,0.04,0.03,0.47,144.79,33.78,2317.07,27.08,0
9.34,1348.25,12.41,43.06,0.01,0.04,1.41,328.03,13.56,216.4,34.96,0
7.06,1429.38,6.78,86.44,0.01,0.03,2.07,64.72,11.72,991.91,45.49,0
6.95,239.99,3.76,16.75,0.0008,0.0004,0.81,226.76,17.88,1178.37,0.0,1
7.4,338.59,3.41,1.44,0.0071,0.0025,0.46,184.12,21.83,414.13,0.0,1
8.51,321.52,2.69,26.91,0.01,0.01,0.94,593.72,36.86,1131.05,15.75,0
6.83,280.28,3.44,6.53,0.005,0.004,0.47,213.55,25.71,1179.57,0.0,1
6.56,1936.31,14.17,70.97,0.04,0.0,2.5,161.72,35.47,1607.66,29.25,0
7.63,132.47,1.7,16.54,0.0015,0.0073,0.83,172.58,19.84,1261.65,0.0,1
7.67,112.16,0.54,3.33,0.0069,0.005,0.07,130.18,22.65,478.2,0.0,1
7.9,238.83,1.52,17.35,0.0072,0.0001,0.76,102.06,27.88,1387.36,0.0,1
7.78,351.58,3.52,13.83,0.001,0.0002,0.43,188.83,25.06,1267.78,0.0,1
7.8,146.07,3.01,14.07,0.0021,0.0072,1.09,114.84,23.99,1002.03,0.0,1
9.37,886.24,13.77,6.67,0.04,0.04,2.1,51.91,29.75,185.36,7.53,0
5.87,831.16,7.57,87.92,0.05,0.0,1.23,178.74,17.93,1167.65,11.63,0
7.95,1128.37,2.9,12.12,0.02,0.02,2.65,303.82,19.34,296.93,37.51,0
7.41,283.8,1.54,19.95,0.0066,0.007,0.78,134.01,27.67,709.23,0.0,1
5.1,1122.05,9.84,22.85,0.02,0.03,0.95,545.75,23.81,1535.03,49.63,0
7.74,387.22,8.58,84.02,0.01,0.03,1.66,558.15,44.9,2646.93,30.29,0
7.99,360.79,1.74,17.4,0.0019,0.0087,1.01,135.71,20.15,368.55,0.0,1
7.88,311.22,1.82,21.07,0.0048,0.0084,0.61,221.83,21.69,606.35,0.0,1
9.16,175.24,8.32,38.61,0.04,0.01,2.55,573.37,20.2,1628.31,34.68,0
5.65,1658.0,2.6,57.9,0.0,0.02,0.51,93.66,23.84,1243.42,23.76,0
8.27,70.12,4.1,45.45,0.04,0.01,1.0,233.25,39.59,1641.76,26.11,0
8.16,871.96,13.51,64.53,0.05,0.01,0.61,570.97,24.8,2988.92,44.55,0
7.53,104.28,2.86,32.21,0.0047,0.0041,0.9,192.71,29.19,1217.16,0.0,1
8.26,1404.87,2.38,71.79,0.0,0.0,1.44,542.97,36.92,287.13,25.95,0
7.63,327.74,2.69,37.95,0.0038,0.0078,0.11,105.39,17.15,1133.09,0.0,1
6.95,120.45,1.45,28.26,0.0073,0.0066,0.86,244.37,27.21,1282.87,0.0,1
5.19,1660.59,7.92,80.6,0.04,0.01,0.97,173.63,35.69,2081.59,27.6,0
8.73,715.26,7.09,65.53,0.02,0.0,1.2,218.94,36.84,2625.22,7.71,0
7.69,252.4,0.19,35.01,0.0023,0.0084,1.08,203.19,24.43,940.93,0.0,1
6.41,178.77,10.66,19.97,0.05,0.05,2.41,227.48,18.36,1806.65,49.77,0
7.09,209.67,0.76,28.52,0.0036,0.0089,0.58,113.51,16.57,1023.23,0.0,1
6.94,1426.77,12.34,34.94,0.03,0.01,1.87,56.77,11.1,2392.75,40.42,0
8.08,147.5,2.32,37.06,0.0032,0.0079,0.69,241.18,27.5,1248.83,0.0,1
8.03,195.65,2.38,11.05,0.0047,0.0018,0.22,153.74,16.25,526.61,0.0,1
7.65,1326.74,10.13,85.84,0.0,0.04,0.12,471.46,16.36,799.73,49.03,0
6.19,1825.94,2.86,8.95,0.0,0.02,0.92,300.22,38.25,479.54,32.07,0
